is_urban,population_density,water_source,water_treatment,ph,avg_temperature_c,avg_rainfall_mm,avg_humidity_pct,flooding,Outbreak_Risk
1,468,2,1,8.19,23.8,55.7,58.4,0,0
1,190,2,2,7.75,30.1,446,81.5,0,0
0,405,3,0,6.85,24.1,12.3,45.8,0,1
1,9280,6,3,6.77,29.2,214,67.2,0,1
0,81,3,3,7.04,16.7,27.3,45.5,0,1
1,682,3,3,7.01,21.4,35.6,48.4,0,1
1,236,0,3,8.49,31.9,78,50,0,0
0,40,6,3,7.41,29.9,685.8,93.2,1,1
0,563,5,0,7.67,23.7,53.4,75.3,0,1
1,389,1,1,8.26,41.7,15.3,22.5,0,0
1,659,5,3,7.64,29.2,504.8,86.6,0,1
0,159,0,3,7.77,28.3,834.6,91,0,1
0,404,5,3,7.42,33.2,384,93.5,0,1
0,722,2,1,7.17,27.3,9.3,40.3,0,1
0,309,5,3,6.46,33.8,394.5,94.3,0,1
1,2377,3,3,7.31,31.9,201.5,73.3,1,1
1,272,5,3,6.67,35.9,41.3,44.8,0,1
0,496,4,3,6.7,26.3,151.1,81.4,0,1
0,287,4,3,7.29,29.1,51.4,41.8,0,1
1,574,2,1,8.23,29.8,737.8,77.3,0,0
1,281,6,3,7.77,23.9,30.5,57.7,0,1
1,175,1,3,7.15,37,125,80.6,0,1
1,489,5,3,8.03,33.6,750.3,82.1,0,1
1,786,0,0,7.35,29.9,295.1,63.7,0,0
1,684,5,2,8.24,28.1,584.8,89.3,1,0
1,560,0,3,7.47,29.4,426,77.2,0,1
1,208,5,3,6.7,22.9,90,72.3,1,1
0,1019,1,3,7.13,26.9,65.1,69.7,0,1
0,292,1,3,7.36,44.1,6.6,28.9,0,1
0,400,1,3,7.59,24.7,13.5,63,0,1
0,390,5,3,7.7,42,16.1,31.9,0,1
1,271,3,3,6.8,18.7,22.4,60,0,1
0,7,1,3,6.61,11.3,13.1,38.8,0,1
0,195,3,3,6.55,27.1,58.6,55.6,0,1
0,88,2,3,6.57,25.6,843.2,94.7,0,1
0,7,2,0,8.26,36.4,55.6,35.6,0,0
0,296,5,3,7.47,32.5,630.1,81.3,0,1
1,794,2,1,6.81,30.2,131.9,64,0,0
0,773,1,3,6.82,47.8,48.9,48.2,0,1
1,60,2,1,8.38,21.4,91.6,66.6,0,0
1,425,2,1,7.89,13.1,20.7,59.7,0,0
0,709,0,1,8.34,34.4,527.5,92,0,0
1,345,0,2,7.5,30.4,163.9,69.2,0,0
0,170,1,0,6.95,29.5,520.7,84,0,0
0,319,1,3,7.89,23.6,5.9,33.2,0,0
1,801,2,1,7.77,21.7,41.8,59.8,0,0
1,855,5,2,7.79,32.7,125.5,93.6,0,1
0,502,1,3,7.28,43.8,22.3,46.4,0,1
0,724,1,3,6.6,38.4,72.5,49.9,0,1
0,386,2,1,7.3,32,44.8,66.7,0,0
0,619,5,2,8.18,18.8,17.5,42,0,1
0,367,5,2,6.22,31,197.3,66.1,0,1
1,468,2,1,7.4,14.3,7.2,52,0,0
0,89,3,1,7.02,29.7,44.6,48.8,0,1
0,224,6,3,6.95,34.2,394.2,76.5,1,1
0,1229,0,3,7.94,29.9,410.8,75.4,0,1
1,1179,5,0,7.19,37.1,464,94,0,1
1,1351,5,1,6.89,35.4,465.4,87.4,0,1
1,552,5,3,6.81,40.7,62.1,59.1,0,1
0,73,3,3,6.57,25.5,464.2,84.9,0,1
1,735,1,3,7.11,27.2,616,81.5,0,1
0,1104,2,3,6.21,36.3,177.8,75.5,0,1
1,375,3,2,7.79,42,33.7,56.6,0,0
1,308,1,0,7.18,24.5,47.6,50.8,1,1
1,220,2,1,7.81,31.2,426.9,93.9,1,0
1,717,0,3,8.42,35.6,38.4,36.3,0,0
1,35,1,3,6.99,29.4,74.4,77.6,0,1
0,721,5,1,6.36,32.7,15.8,51.1,0,1
0,460,1,3,6.75,41,8.8,45.6,0,1
1,85,2,1,7.19,23.7,403,82.6,1,0
1,287,2,1,8.26,46.5,24.9,41.6,0,0
1,1038,2,0,8.03,27.1,53.5,65,0,0
1,506,4,2,6.96,41.2,50.8,56.1,0,1
1,1286,2,1,8.33,39.3,33.3,51.8,0,0
0,76,2,3,6.87,32.7,326.8,91,0,1
1,428,0,3,8.06,25,30.7,56.2,0,0
0,155,3,3,6.71,37.6,24.4,35.1,0,1
0,325,2,3,7.53,37,333,78.7,1,0
1,581,0,0,8.04,43,12.2,40.7,0,0
1,460,0,3,7.62,41.3,26.7,44.9,0,1
1,302,3,1,7.25,25.6,44,52.2,1,0
0,266,0,3,6.94,46.4,25.9,30.5,0,1
1,422,2,2,7.08,18.2,8.9,45.4,0,0
0,53,3,3,6.7,34.4,371.5,72.4,0,1
1,129,4,1,7.77,38.3,17.9,33.5,0,0
1,160,5,3,6.65,19.7,97.9,62.7,0,1
1,233,6,0,8.45,30,481.6,85.8,0,0
0,424,1,1,7.05,25.8,390,75.2,0,0
0,1077,5,3,7.94,33.2,372.8,87.4,0,1
0,775,2,1,8.47,29.2,27,41.9,0,0
1,2800,3,1,7.5,25,664,87.2,0,0
1,1351,2,1,6.98,47.4,37.5,41.8,0,0
1,1429,5,3,7.08,38.3,72,37.2,0,1
1,419,5,1,7.28,26.7,992.5,89.7,0,1
0,311,1,3,6.66,29.2,346.1,78.7,1,1
0,320,0,0,7.57,34.1,244.6,79.8,0,0
0,1280,5,3,6.59,29.5,663.7,84.5,0,1
0,301,4,0,7.24,31.9,18.7,46.1,0,1
0,1083,1,2,7.49,29.6,246.3,79.4,0,1
0,516,5,2,6.9,32.3,272,77.8,0,1
1,341,1,3,6.71,21.8,15.7,46.1,0,1
1,583,2,2,7.96,31.5,44.4,44.9,0,0
1,772,4,1,8.11,29.9,502.8,65.3,0,0
0,61,6,2,7.44,29.8,858.5,93.5,1,1
0,1022,5,2,7.96,31.9,20.9,51.4,0,1
0,297,1,0,7.67,33,678.9,96.3,1,0
1,75,5,3,6.78,21.6,14.4,49.5,0,1
0,189,0,2,6.65,26.6,935,94.7,1,1
0,1163,5,3,6.76,28.1,476.8,92.9,0,1
0,328,2,3,7.66,31.8,57.9,41.8,0,0
0,1465,3,3,7.67,22.9,27.2,47.2,1,1
0,323,0,2,7.55,11.4,21.6,43.3,0,0
1,246,2,2,8.29,42,24.2,53.4,0,0
0,96,5,2,6.85,29.8,830.4,94.9,0,1
1,512,6,0,7.03,31.6,598.5,76.9,1,0
1,330,0,1,7.49,9.6,20,38.3,0,0
0,424,3,3,7.32,28.8,941.5,88.9,0,1
0,405,3,3,7.14,32.7,467.1,88.2,0,1
1,524,0,3,6.84,25.2,193,58.4,0,1
1,463,5,2,6.52,37,30.7,43.6,0,1
0,2347,2,2,6.98,40.1,31.4,44.3,0,1
0,279,2,2,8.09,24.8,11.1,37.2,0,0
0,330,5,3,7.18,29,388.4,74.3,1,1
0,801,6,3,6.48,32.1,344.2,72.5,0,1
1,712,2,0,8.19,34.6,653.9,66.3,0,0
1,342,4,3,7.71,28.1,356.2,83,0,1
1,808,4,0,8.01,22.9,71.1,70.6,0,0
1,161,3,2,7.37,5.2,27.9,31,0,0
0,64,3,3,6.64,25.9,43,53.8,0,1
0,638,6,2,7.42,29.4,379.5,88.9,0,1
0,1330,6,2,8.43,40.3,45.5,50.3,0,0
0,10646,2,2,8.38,21.9,44.4,51.5,0,0
0,1021,1,1,7.84,36,11.9,38.9,0,0
0,368,6,3,6.88,43.8,25.9,59.8,0,1
0,439,0,0,6.82,14.8,17.6,52.9,0,0
0,8798,1,1,7.25,20.6,10.4,53.9,0,0
0,762,6,3,6.73,32.6,778.2,86.5,0,1
0,192,4,1,7.28,24.8,88.1,67.1,1,1
1,108,0,1,7.4,18.7,14.5,51.3,0,0
0,181,3,3,6.84,23.4,766.8,85.5,0,1
1,316,3,3,6.82,26.9,283.3,71.1,1,1
1,414,4,0,7.89,27.2,521.7,88.2,0,0
0,253,0,3,7.71,20.6,28.5,48.6,0,1
1,721,3,2,8.19,25.4,736.8,82.5,0,1
1,295,6,3,6.36,31.9,695.9,75,0,1
0,1118,3,3,6.86,29,187,78.1,0,1
1,520,3,2,7.5,30.5,803.6,87.1,1,0
1,446,0,3,7.14,22.7,12.5,60,0,0
0,1231,2,3,7.12,36,431.6,76,0,1
0,279,3,0,8.17,23.4,46.5,55.5,1,0
1,135,2,0,8.07,25.3,107,74.6,0,0
0,701,3,1,6.88,30.7,163.6,84.1,1,1
1,762,1,1,7.59,27.2,647.7,69,0,0
0,667,1,2,7.8,30.9,184.6,87.9,0,1
1,793,1,1,6.93,26.3,218.7,84.2,0,0
1,481,2,0,8.46,32.6,12.1,58.7,1,0
0,486,2,2,7.43,17,22.3,61.4,0,0
0,313,1,0,7.41,44.6,17.7,33.2,0,1
1,593,2,0,7.91,28.8,830.5,81.5,0,0
0,1049,5,3,6.25,10.5,10.3,36.3,0,1
1,588,0,3,7.86,28.2,648.4,95.2,0,1
0,578,5,1,6.86,32.3,46.4,44.1,1,1
1,489,6,1,7.59,28.7,875.3,82.2,0,0
0,822,6,0,6.87,42.3,76.6,57.1,0,1
1,779,6,1,7.68,30.4,38.4,48.8,0,0
0,58,6,0,7.13,23.9,588.6,98,0,0
0,1705,0,3,6.16,34.8,841.3,78.2,0,1
1,974,5,3,6.38,30.2,29,53.1,0,1
0,668,0,3,6.86,25.5,53.4,61.3,0,1
0,476,2,2,7.33,32.9,19.8,44.5,1,0
1,491,2,2,7.34,37.8,26.4,45.5,0,0
1,1020,1,2,6.57,33.7,454.4,81.5,0,1
1,407,0,0,7.48,43.3,23.4,46.1,0,0
1,190,6,3,6.65,32.7,595.5,90.7,0,1
0,127,1,2,8.23,39.9,49.4,40.6,0,0
1,612,0,0,7.64,31.9,253.1,77.4,0,0
1,147,4,2,8.37,25.3,84.8,76.7,0,0
0,991,2,2,7.3,28.1,116.3,80.5,0,0
1,1016,2,2,8.08,13,17.6,46.9,0,0
0,446,3,3,6.52,26.2,666.8,96.4,1,1
0,397,5,3,6.56,30.8,55.5,51,0,1
0,350,5,1,7.3,31.1,20.2,60.7,1,1
0,676,1,1,6.75,31.8,121.7,72.6,1,1
0,395,2,2,7.44,29.5,43.2,56,0,0
1,308,2,0,7.81,16.4,19.5,54.1,0,0
0,455,2,2,7.19,25.1,39.6,62.6,0,0
0,89,3,3,6.92,31.8,596.1,88.4,0,1
1,740,2,0,8.25,23.3,12.3,47,0,0
0,117,5,3,7.15,28.1,163.7,91.4,1,1
0,262,3,1,7.45,41.7,62.7,46.8,0,1
0,521,2,0,8.19,32.6,17.7,48.1,0,0
1,270,2,1,7.24,41.2,49.1,61.2,0,0
1,8,2,0,7.21,20.4,49.9,51.1,0,0
1,568,1,3,6.64,40.7,17.4,43.5,0,1
1,343,4,1,7.82,22.8,8.7,48.9,0,0
0,358,5,3,7.46,30.2,39.3,52.6,0,1
1,240,0,1,7.86,33.2,241.1,86.3,1,0
1,12,0,3,8.09,16.2,17.5,40.1,0,0
0,504,2,3,7.32,26,9.5,49.1,0,1
1,495,0,2,7.97,23.1,68.7,63.9,0,1
1,552,4,3,7.95,27.2,500.7,76,0,1
0,659,0,3,7.07,36.6,42.4,52.7,0,0
0,1203,1,2,6.56,35.7,514.7,91.4,0,1
1,732,0,1,8.04,31.2,58,43.9,0,0
0,379,4,1,6.97,6.9,25.6,36.5,0,0
1,1636,3,3,7.53,22.2,37.1,67.8,0,1
0,601,5,2,7.95,14.4,21.2,50.5,0,1
0,208,1,1,7.72,25.4,26.8,58,0,0
0,4,5,2,6.69,29.6,140.4,75,0,1
0,68,3,3,7.9,25.2,23,44.3,1,1
1,541,4,0,6.85,43.5,31.1,31.4,0,0
1,389,2,3,6.93,28.4,25.8,53.5,0,0
1,458,4,0,7.32,43.7,39.3,25.9,0,0
0,9532,0,3,7.22,31.3,15.8,45.8,0,1
1,836,3,1,6.89,34.2,645.2,90.7,0,1
0,401,5,3,7.04,34.6,698.1,73.5,0,1
0,459,1,3,6.93,24,28.7,56.8,1,1
0,309,5,3,7.83,30,412.3,72.1,0,1
1,893,3,3,7.85,33.8,498.3,89.3,0,1
0,97,5,3,7.64,29.2,417.1,84.3,1,1
1,388,3,3,7.04,29.1,692.1,89.4,0,1
0,205,4,3,7.32,39.5,17.2,29.2,0,1
0,5,2,2,6.88,37.6,44.1,27.3,0,0
0,465,2,2,8.4,31.5,623.4,88.3,0,0
0,416,6,0,6.78,31.1,557.5,65.8,0,1
0,1567,5,3,7.15,31.5,717.6,84.5,0,1
0,531,2,3,6.75,33.3,871.8,77.5,0,1
0,352,4,3,7.79,33.7,798.6,76.1,1,1
0,542,0,1,7.61,31.9,454.8,88.7,0,1
0,443,6,3,7.25,24.2,36.6,47.2,0,1
0,461,4,3,7.12,36.9,445.1,81.4,1,1
1,244,3,1,6.68,34.8,50.7,59.6,0,1
1,518,0,1,7.81,33.8,522.7,82,0,1
0,560,2,3,7.64,24.7,240.1,68.7,0,1
0,125,4,1,6.64,20.4,87.5,74.3,1,1
0,1019,2,1,7.24,22.7,21.7,72.3,0,0
1,252,0,2,7.21,47.3,59.6,47.3,0,0
1,1422,0,0,8.36,31.5,30.6,65.8,1,0
0,275,5,2,7.51,26,686.6,75.5,0,1
0,580,2,0,7.72,26,48.2,65.2,0,0
0,697,3,3,7.21,35.3,10.4,45.8,0,1
0,495,1,3,6.9,9.2,16.9,49.6,0,1
1,643,0,1,7.68,31.2,52.6,62.3,1,0
0,776,0,3,7.39,29.8,475.4,83.5,0,1
0,1321,1,3,7.71,30.4,401.1,85.3,1,1
1,362,0,1,6.9,29.6,152.9,96.9,0,0
1,323,2,3,7.09,29.4,608.9,75.4,0,0
1,239,1,2,8.24,40.6,12.9,36.8,0,0
